campaign_id,campaign_name,channel,start_date,end_date,variant,budget_gbp,impressions,clicks,ctr_pct,leads_generated,conversions,cost_per_lead_gbp,status
C001,Q1 SaaS Lead Gen — Google,Google Ads,2024-01-10,2024-01-31,A,1200,48000,1440,3.0,28,6,42.86,Completed
C002,Q1 SaaS Lead Gen — LinkedIn,LinkedIn,2024-01-10,2024-01-31,B,1800,22000,528,2.4,19,4,94.74,Completed
C003,February Nurture Email Blast,Email Campaign,2024-02-01,2024-02-28,A,200,0,0,0.0,12,3,16.67,Completed
C004,February Nurture Email Blast,Email Campaign,2024-02-01,2024-02-28,B,200,0,0,0.0,9,2,22.22,Completed
C005,Healthcare Vertical — Paid Search,Google Ads,2024-02-05,2024-02-29,A,950,35000,1050,3.0,21,5,45.24,Completed
C006,Healthcare Vertical — Organic Social,Organic,2024-02-05,2024-02-29,B,0,18500,740,4.0,14,2,0.00,Completed
C007,March Referral Partner Campaign,Referral,2024-03-01,2024-03-31,A,500,0,0,0.0,16,7,31.25,Completed
C008,Spring Retargeting — Google Display,Google Ads,2024-03-05,2024-03-31,B,750,120000,1800,1.5,22,4,34.09,Completed
C009,LinkedIn Thought Leadership — April,LinkedIn,2024-04-01,2024-04-30,A,2200,31000,930,3.0,18,5,122.22,Active
C010,April Email Re-engagement,Email Campaign,2024-04-01,2024-04-30,B,150,0,0,0.0,8,1,18.75,Active
C011,Education Sector Webinar Promo,LinkedIn,2024-04-10,2024-04-30,A,600,14500,435,3.0,11,3,54.55,Active
C012,Organic SEO — Inbound Content,Organic,2024-01-01,2024-04-30,B,0,85000,3400,4.0,34,9,0.00,Active
